iter	RMSE
0	21.35511145
1	19.69323457
2	18.16827582
3	16.82878044
4	15.58718482
5	14.48660092
6	13.52908741
7	12.69335489
8	11.97500957
9	11.2881557
10	10.70792689
11	10.109866
12	9.562805436
13	9.114383205
14	8.70100032
15	8.372056644
16	8.02013739
17	7.744004648
18	7.534629248
19	7.317729233
20	7.105276482
21	6.918339063
22	6.733873931
23	6.577046235
24	6.413631517
25	6.267019678
26	6.11714399
27	5.996737606
28	5.903560362
29	5.821711195
30	5.735943098
31	5.66260508
32	5.602155869
33	5.560701852
34	5.506149773
35	5.451577059
36	5.380703651
37	5.331362058
38	5.281094568
39	5.233926747
40	5.192517903
41	5.164897061
42	5.098407331
43	5.065884643
44	5.043301731
45	4.992857371
46	4.971911886
47	4.954423423
48	4.936348681
49	4.92223304
50	4.897678866
51	4.870230587
52	4.85410559
53	4.83382298
54	4.825185291
55	4.806770662
56	4.792214231
57	4.782646265
58	4.771444746
59	4.758952402
60	4.722061134
61	4.705326757
62	4.694384153
63	4.684665906
64	4.678338793
65	4.662332059
66	4.656417053
67	4.638764608
68	4.604648704
69	4.576549205
70	4.564422033
71	4.555249074
72	4.52567611
73	4.515107494
74	4.508490299
75	4.502463801
76	4.493221307
77	4.479522717
78	4.470109382
79	4.463317337
80	4.449643648
81	4.441340318
82	4.430303057
83	4.404926982
84	4.397511024
85	4.370901983
86	4.365338637
87	4.351350378
88	4.337184175
89	4.327246359
90	4.304798976
91	4.287173071
92	4.27429336
93	4.266480096
94	4.251051637
95	4.244052668
96	4.235283076
97	4.228679576
98	4.224237428
99	4.21509177
