iter	Passed	Remaining
0	136	13549
1	137	6732
2	137	4455
3	138	3316
4	138	2632
5	138	2176
6	139	1853
7	140	1610
8	140	1420
9	140	1267
10	141	1142
11	141	1037
12	141	949
13	142	873
14	142	807
15	142	750
16	143	699
17	143	654
18	143	613
19	144	576
20	144	543
21	144	513
22	145	486
23	145	461
24	146	438
25	146	416
26	146	396
27	147	378
28	147	361
29	147	345
30	148	330
31	148	315
32	148	302
33	149	289
34	149	277
35	150	266
36	150	256
37	150	245
38	151	236
39	151	227
40	151	218
41	151	209
42	152	201
43	152	194
44	153	187
45	153	180
46	154	173
47	154	167
48	154	161
49	155	155
50	155	149
51	155	143
52	156	138
53	156	133
54	156	128
55	157	123
56	157	118
57	157	114
58	158	110
59	158	105
60	158	101
61	159	97
62	159	93
63	159	89
64	160	86
65	160	82
66	160	79
67	161	75
68	161	72
69	161	69
70	162	66
71	162	63
72	163	60
73	163	57
74	163	54
75	164	51
76	164	49
77	164	46
78	164	43
79	165	41
80	165	38
81	165	36
82	166	34
83	166	31
84	167	29
85	167	27
86	167	25
87	168	22
88	168	20
89	169	18
90	169	16
91	169	14
92	170	12
93	170	10
94	170	8
95	171	7
96	171	5
97	171	3
98	172	1
99	172	0
