Company Name,Rating,Reviews
TCS,3.7,N/A
Accenture,3.8,N/A
Wipro,3.7,N/A
Cognizant,3.7,N/A
Capgemini,3.7,N/A
HDFC Bank,3.9,N/A
Infosys,3.6,N/A
ICICI Bank,4.0,N/A
HCLTech,3.5,N/A
Tech Mahindra,3.5,N/A
Genpact,3.8,N/A
Teleperformance,3.9,N/A
Concentrix Corporation,3.8,N/A
Axis Bank,3.8,N/A
Amazon,4.1,N/A
Jio,4.0,N/A
iEnergizer,4.6,N/A
Reliance Retail,3.9,N/A
IBM,4.0,N/A
LTIMindtree,3.8,N/A
HDB Financial Services,3.9,N/A
Larsen & Toubro Limited,4.0,N/A
Deloitte,3.8,N/A
Kotak Mahindra Bank,3.7,N/A
Reliance Industries ,4.0,N/A
BYJU'S,3.1,N/A
Vodafone Idea,4.0,N/A
Bharti Airtel,4.0,N/A
WNS,3.4,N/A
Tata Motors,4.2,N/A
AU Small Finance Bank,4.2,N/A
IndusInd Bank,3.5,N/A
Ernst & Young,3.4,N/A
Flipkart,3.9,N/A
IDFC FIRST Bank,3.9,N/A
DXC Technology,3.7,N/A
Infosys BPM ,3.6,N/A
Mahindra & Mahindra,4.1,N/A
Bajaj Finserv,4.0,N/A
PwC,3.4,N/A
HDFC Life,4.0,N/A
Conneqt Business Solutions,3.6,N/A
Mphasis,3.4,N/A
Bandhan Bank,3.7,N/A
Yes Bank,3.7,N/A
Startek,3.1,N/A
Paytm,3.3,N/A
Tata Steel,4.1,N/A
Asian Paints,4.0,N/A
Quess,3.9,N/A
Maruti Suzuki,4.2,N/A
UltraTech Cement,4.2,N/A
Samsung,3.9,N/A
Shriram Finance,4.1,N/A
Ericsson,4.1,N/A
EXL Service,3.7,N/A
Sutherland Global Services,3.6,N/A
Cipla,4.1,N/A
Muthoot Fincorp,4.5,N/A
HGS,3.8,N/A
Dr. Reddy's,4.0,N/A
 Bajaj Finance,4.0,N/A
Wells Fargo,3.8,N/A
Amazon Development Centre India,4.1,N/A
ICICI Prudential Life Insurance,4.1,N/A
JPMorgan Chase & Co.,3.9,N/A
Delhivery,3.8,N/A
Hindustan Unilever ,4.2,N/A
Jana Small Finance Bank,3.8,N/A
Optum Global Solutions,4.0,N/A
Lupin,4.1,N/A
L&T Construction,4.0,N/A
Hexaware Technologies,3.5,N/A
Zydus Lifesciences,4.1,N/A
Equitas Small Finance Bank,4.5,N/A
JSW Steel,3.9,N/A
Sun Pharmaceutical Industries,4.0,N/A
ITC,3.9,N/A
KPMG India,3.5,N/A
FIS,3.9,N/A
HCL Group,3.6,N/A
Axis Max Life Insurance,4.1,N/A
Ujjivan Small Finance Bank,4.1,N/A
Ekart Logistics,3.9,N/A
Tata Projects,4.2,N/A
Oracle,3.7,N/A
Indian Army,4.7,N/A
IIFL Finance,4.0,N/A
Megha Engineering & Infrastructures,3.9,N/A
Muthoot Finance,3.6,N/A
eClerx,3.3,N/A
Udaan,4.0,N/A
Omega Healthcare,3.7,N/A
Bajaj Allianz Life Insurance,3.9,N/A
JLL,4.1,N/A
L&T Technology Services,3.3,N/A
Virtusa Consulting Services,3.8,N/A
Indiamart Intermesh,3.6,N/A
Coforge,3.3,N/A
HSBC Group,3.9,N/A
Siemens,4.1,N/A
Aurobindo Pharma,4.0,N/A
Shapoorji Pallonji Group,4.1,N/A
Standard Chartered,3.7,N/A
Firstsource Solutions,3.6,N/A
DMart,3.9,N/A
CGI Group,4.0,N/A
Cholamandalam Investment & Finance,3.9,N/A
GlobalLogic,3.7,N/A
Apollo Hospitals,4.1,N/A
Ashok Leyland,4.1,N/A
ICICI Lombard General Insurance Company,3.7,N/A
BigBasket,3.9,N/A
Cyient,3.7,N/A
Bosch Global Software Technologies,3.9,N/A
 UST,3.8,N/A
Citicorp,3.7,N/A
Hero MotoCorp,4.1,N/A
Mahindra Finance,4.1,N/A
JustDial,3.5,N/A
Eviden,3.6,N/A
Vivo,4.1,N/A
SMFG India Credit,4.0,N/A
Home Credit Finance,4.1,N/A
Manappuram Finance,3.9,N/A
BNY,3.9,N/A
Atos,3.8,N/A
TVS Motor,4.0,N/A
IQVIA,3.9,N/A
Swiggy,3.8,N/A
SBI Cards & Payment Services,3.7,N/A
Nagarro,4.0,N/A
OPPO,4.0,N/A
Kalpataru Projects International,4.1,N/A
Amdocs,3.7,N/A
Persistent Systems,3.5,N/A
CBRE,4.2,N/A
NTT Data,3.8,N/A
State Bank of India,3.8,N/A
Bosch,4.2,N/A
Hewlett Packard Enterprise,4.2,N/A
Mahindra Logistics,3.9,N/A
JBM Group,4.0,N/A
SBI Life Insurance Company,3.8,N/A
Schneider Electric,4.1,N/A
Dell,3.9,N/A
PolicyBazaar,3.6,N/A
Ecom Express,3.8,N/A
Nagarjuna Construction Company,4.1,N/A
Piramal Capital Housing Finance,4.2,N/A
KEC International,4.0,N/A
Aditya Birla Fashion and Retail,4.1,N/A
Hyundai Motor India Limited,4.3,N/A
Varun Beverages,4.0,N/A
CARS24 ,3.5,N/A
Randstad,3.8,N/A
Oyo Rooms,3.3,N/A
EY Global Delivery Services ( EY GDS),3.6,N/A
Bajaj Auto,3.9,N/A
Deutsche Bank,3.9,N/A
L&T Finance,3.9,N/A
Reliance Communications,4.0,N/A
Intas Pharmaceuticals,4.1,N/A
ITC Infotech ,3.6,N/A
Team Lease,3.9,N/A
R1 RCM,3.9,N/A
Tata Communications,4.0,N/A
Havells,4.0,N/A
Access Healthcare,3.9,N/A
Royal Enfield,4.2,N/A
John Deere,4.1,N/A
Hetero,3.8,N/A
LG Electronics,4.0,N/A
Thermax Limited,4.1,N/A
Macleods Pharmaceuticals,3.6,N/A
Aakash Educational Services,3.4,N/A
HDFC Ergo General Insurance,3.9,N/A
Tata AIA Life Insurance,4.0,N/A
Utkarsh Small Finance Bank,3.8,N/A
 Publicis Sapient,3.5,N/A
DCB Bank,3.8,N/A
