id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,85211.0,1690856632089,1,1690860125755.0,28719716465.0,87724.0,85037.0,-2275.091249816396,-2.60052,-45093675253.765625,-2.59764,19843087.0,19843128.0,21000000.0,108786.0,-21.85786,2025-01-20T09:11:54.494Z,67.81,125262.91389,2013-07-06T00:00:00.000Z,,2025-03-28T09:26:20.951Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1909.02,230296040945,2,230296040945.0,16992703310.0,2034.03,1905.45,-116.35983550712649,-5.74509,-13904517232.385895,-5.69389,120649306.8142909,120649306.8142909,,4878.26,-60.95201,2021-11-10T14:24:19.604Z,0.432979,439843.58086,2015-10-20T00:00:00.000Z,"{'times': 28.96546719360042, 'currency': 'btc', 'percentage': 2896.546719360042}",2025-03-28T09:26:11.452Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999716,144138776658,3,144138776658.0,54755944565.0,1.0,0.999596,-0.000389818915380702,-0.03898,-47083406.19244385,-0.03265,144182349120.7869,144182349120.7869,,1.32,-24.4449,2018-07-24T00:00:00.000Z,0.572521,74.60773,2015-03-02T00:00:00.000Z,,2025-03-28T09:26:22.163Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.23,129592685489,4,222615555608.0,3022656613.0,2.38,2.22,-0.14037888058455916,-5.92909,-8281850372.927673,-6.0068,58205697378.0,99986304107.0,100000000000.0,3.4,-34.62296,2018-01-07T00:00:00.000Z,0.00268621,82611.65634,2014-05-22T00:00:00.000Z,,2025-03-28T09:26:17.623Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,628.13,91632814688,5,91632814688.0,2037083927.0,641.43,626.2,-10.90277537396014,-1.70613,-1604510315.1583252,-1.72089,145887575.79,145887575.79,200000000.0,788.84,-20.5514,2024-12-04T10:35:25.220Z,0.0398177,1573886.65591,2017-10-19T00:00:00.000Z,,2025-03-28T09:26:22.367Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,131.25,67137049772,6,78378547721.0,3830887559.0,139.89,130.79,-6.791732336985547,-4.92017,-3455418442.2885284,-4.89488,511579090.7524931,597238429.6554446,,293.31,-55.36317,2025-01-19T11:15:27.957Z,0.500801,26043.13775,2020-05-11T19:35:23.449Z,,2025-03-28T09:26:18.565Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999823,60318943857,7,60332400319.0,11937543140.0,0.99994,0.999772,1.248e-05,0.00125,181512441.0,0.30183,60329358565.98952,60342817351.3178,,1.17,-14.74494,2019-05-08T00:40:28.300Z,0.877647,13.91729,2023-03-11T08:02:13.981Z,,2025-03-28T09:26:23.518Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.181675,26991499398,8,26993435621.0,1476519858.0,0.197539,0.181152,-0.014431730528303238,-7.35912,-2146044428.9513855,-7.36522,148603446383.7052,148614106383.7052,,0.731578,-75.26715,2021-05-08T05:08:23.458Z,8.69e-05,208107.48913,2015-05-06T00:00:00.000Z,,2025-03-28T09:26:22.135Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.699765,25167187162,9,31476158067.0,707802019.0,0.744884,0.697807,-0.038308092840733665,-5.19028,-1418475111.4523506,-5.33549,35980357573.51544,45000000000.0,45000000000.0,3.09,-77.39394,2021-09-02T06:00:10.474Z,0.01925275,3524.56817,2020-03-13T02:22:55.044Z,,2025-03-28T09:26:20.972Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.231046,21950973298,10,21950992840.0,588634967.0,0.235516,0.228875,-0.002981194208763305,-1.27387,-279486641.20204926,-1.25722,94997624253.87927,94997708826.07054,,0.431288,-46.50401,2024-12-04T00:10:40.323Z,0.00180434,12687.04426,2017-11-12T00:00:00.000Z,"{'times': 120.60328435304963, 'currency': 'usd', 'percentage': 12060.328435304964}",2025-03-28T09:26:21.220Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1908.51,17861951145,11,17861951145.0,19960268.0,2032.64,1903.4,-115.19645950657082,-5.69236,-1058405025.170475,-5.594,9359516.15163586,9359516.15163586,,4829.57,-60.53464,2021-11-10T14:40:47.256Z,482.9,294.70334,2020-12-22T04:08:21.854Z,,2025-03-28T09:26:17.032Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,85132.0,10975228747,12,10975228747.0,273380510.0,87586.0,84937.0,-2244.9725162045943,-2.5693,-286025736.10414314,-2.53991,128915.05657878,128915.05657878,128915.05657878,108368.0,-21.53776,2025-01-20T07:16:27.137Z,3139.17,2608.60652,2019-04-02T00:00:00.000Z,,2025-03-28T09:26:21.803Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.97,9860537323,13,20344553250.0,476571838.0,4.06,3.82,0.135942,3.54658,344270481.0,3.61771,2484347865.707168,5125780248.176312,,8.25,-51.91962,2024-06-15T00:36:51.509Z,0.519364,664.08209,2021-09-21T00:33:11.092Z,,2025-03-28T09:26:19.355Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,14.35,9155385731,14,14347886132.0,496552483.0,15.77,14.34,-1.2615435946902966,-8.08197,-804844857.4109097,-8.08058,638099971.4505637,1000000000.0,1000000000.0,52.7,-72.81533,2021-05-10T00:13:57.214Z,0.148183,9567.35664,2017-11-29T00:00:00.000Z,,2025-03-28T09:26:21.198Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.78,9039048807,15,9639682770.0,4454809.0,9.81,9.72,0.02745785,0.28142,33179772.0,0.36842,923850729.9,985239504.0,,10.14,-3.37738,2025-03-10T09:26:43.294Z,0.799859,1124.31653,2019-12-24T15:14:35.376Z,,2025-03-28T09:26:23.968Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,20.59,8539606345,16,9294477614.0,283242045.0,22.27,20.56,-1.309032617970491,-5.9787,-540505499.1678019,-5.95263,414829796.326127,451499296.326127,720000000.0,144.96,-85.79788,2021-11-21T14:18:56.538Z,2.8,634.99068,2020-12-31T13:15:21.540Z,,2025-03-28T09:26:19.962Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.275719,8486173792,17,13785312896.0,213684104.0,0.291884,0.275192,-0.015226399000979551,-5.23341,-482539217.9957285,-5.38025,30780864872.59896,50001786892.81792,50001786892.81792,0.875563,-68.57173,2018-01-03T00:00:00.000Z,0.00047612,57694.74502,2015-03-05T00:00:00.000Z,,2025-03-28T09:26:18.732Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2287.54,8197960194,18,8197960194.0,15053540.0,2439.73,2282.8,-137.2609577773119,-5.66071,-505879456.3250103,-5.81214,3584002.960486816,3584002.960486816,,7256.02,-68.47939,2022-05-13T15:09:54.509Z,558.54,309.48572,2022-05-13T01:36:45.053Z,,2025-03-28T09:26:21.429Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.56,8126923253,19,25638235092.0,1430900455.0,2.82,2.56,-0.19750886599518713,-7.15767,-611296271.9307508,-6.99566,3169845047.483887,10000000000.0,10000000000.0,5.35,-52.07633,2025-01-04T22:56:18.063Z,0.364846,602.2879,2023-10-19T10:40:30.078Z,,2025-03-28T09:26:19.628Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999538,7881310080,20,7881310080.0,18657217.0,1.001,0.998732,-0.000312545761653626,-0.03126,-428432959.4748516,-5.15579,7883156647.260928,7883156647.260928,,1.057,-5.42267,2024-10-29T05:40:51.197Z,0.948265,5.45437,2024-10-03T13:19:28.826Z,,2025-03-28T09:26:20.415Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.32e-05,7787104234,21,7790460033.0,233877593.0,1.445e-05,1.318e-05,-1.122180306247e-06,-7.83665,-679514591.1149378,-8.02581,589250827537066.9,589504761156122.9,,8.616e-05,-84.6883,2021-10-28T03:54:55.568Z,5.6366e-11,23404592.94472,2020-11-28T11:26:25.838Z,,2025-03-28T09:26:17.365Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.182883,7723305979,22,9146631725.0,194013346.0,0.19586,0.182655,-0.009544033143457559,-4.95982,-396578166.292572,-4.88404,42219399509.43443,50000000000.0,50000000000.0,0.569229,-67.94008,2021-09-15T10:40:28.318Z,0.00986111,1750.6469,2020-01-02T17:30:24.852Z,,2025-03-28T09:26:23.297Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,88.72,6714457569,23,6714457569.0,436651912.0,94.93,88.34,-5.357813666192982,-5.69495,-404658433.9650526,-5.68411,75683383.23347135,75683383.23347135,84000000.0,410.26,-78.4167,2021-05-10T03:13:07.904Z,1.15,7607.54953,2015-01-14T00:00:00.000Z,,2025-03-28T09:26:11.609Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.29,6535661862,24,6535661862.0,213861286.0,4.66,4.29,-0.34044772032703907,-7.34563,-518010143.2614517,-7.34384,1522267060.0,1522267060.0,,54.98,-92.19511,2021-11-04T14:10:09.301Z,2.7,59.08324,2020-08-20T05:48:11.359Z,,2025-03-28T09:26:15.435Z
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.43,6335082829,25,11653289065.0,59410267.0,6.63,6.35,-0.1904896709099706,-2.87929,-187802872.86645222,-2.87914,986001388.43,1813734643.82,,8.99,-28.69923,2025-02-23T01:52:21.073Z,0.01726188,37014.35263,2023-10-12T17:25:09.068Z,,2025-03-28T09:26:11.701Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,312.68,6207103624,26,6207131965.0,191007496.0,335.2,312.0,-22.445425794510243,-6.69755,-439871016.20801353,-6.61761,19848046.77165078,19848137.39665078,21000000.0,3785.82,-91.76263,2017-12-20T00:00:00.000Z,76.93,305.3458,2018-12-16T00:00:00.000Z,,2025-03-28T09:26:22.068Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.79,5747724753,27,5747724753.0,146905716.0,5.07,4.76,-0.24095279427494987,-4.78776,-276291629.55984306,-4.5865,1199999994.2,1199999994.2,2000000000.0,8.45,-43.26536,2024-12-27T11:41:24.992Z,0.0142795,33474.42662,2020-06-25T04:17:05.895Z,,2025-03-28T09:26:18.566Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.828917,5610378079,28,8631350891.0,280837575.0,0.86762,0.814449,-0.0200463259563175,-2.36127,-134208344.62135887,-2.33626,6763876079.296083,10405963198.91705,100000000000.0,2.99,-72.16561,2025-02-26T16:41:03.732Z,0.615725,35.05768,2025-02-20T18:06:42.957Z,,2025-03-28T09:26:13.245Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1909.02,5513495587,29,5513495587.0,145139997.0,2034.83,1905.69,-116.07405063989358,-5.73179,-271325361.25259495,-4.6903,2888360.529273133,2888360.529273133,,4799.89,-60.26198,2021-11-09T00:00:00.000Z,82.1,2223.14664,2018-12-15T00:00:00.000Z,,2025-03-28T09:26:22.924Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999013,5258729348,30,5258729348.0,132835663.0,0.999348,0.995589,-0.000153467984339906,-0.01536,-103570293.7588377,-1.93145,5264443507.088325,5264443507.088325,,1.032,-3.20903,2023-12-20T15:38:34.596Z,0.929486,7.47469,2024-10-04T07:57:15.809Z,,2025-03-28T09:26:22.203Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999433,5183757301,31,5183757301.0,307519379.0,1.005,0.996239,-0.002290635812873032,-0.22867,-4217501.1722307205,-0.08129,5184994501.618546,5184994501.618546,,1.05,-4.8006,2024-08-05T14:21:42.527Z,0.942186,6.08911,2024-12-05T22:30:39.827Z,,2025-03-28T09:26:22.189Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.54,4518202503,32,13530331843.0,97492040.0,15.08,13.52,-0.9689322008376138,-6.67776,-322743554.19002724,-6.66695,333928180.0,999990391.0,1000000000.0,34.96,-61.13851,2024-12-22T03:56:00.276Z,3.81,256.69829,2024-11-29T09:30:30.871Z,,2025-03-28T09:26:23.086Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2029.18,4273681872,33,4273681872.0,21555896.0,2163.4,2025.75,-122.20189138378373,-5.68016,-254578944.9470253,-5.622,2109328.219855276,2109328.219855276,,4311.81,-52.93498,2024-12-06T20:32:25.758Z,1889.13,7.42266,2025-03-11T00:55:51.837Z,,2025-03-28T09:26:21.108Z
